title,content,status
"Introduction to machine learning","Learn about Introduction to machine learning","pending"
"Basic Concepts","Learn about Basic Concepts","pending"
"Fundamentals","Learn about Fundamentals","pending"
"Practical Application","Learn about Practical Application","pending"
"Advanced Topics","Learn about Advanced Topics","pending"
"Hands-on Practice","Learn about Hands-on Practice","pending"
"Real-world Examples","Learn about Real-world Examples","pending"
"Best Practices","Learn about Best Practices","pending"
"Common Challenges","Learn about Common Challenges","pending"
"Final Project","Learn about Final Project","pending"
